	members	nearby_genes	emb_variable_x	emb_variable_y	manual_annotation	contained_string_cluster_ids	contained_string_clusters	contained_corum_complexes	nearby_corum_complexes	nearby_string_clusters	strong_positive_gene_expr_clusters	strong_negative_gene_expr_clusters	best_description	example_genes	Notes
13	CCT2,CCT3,CCT4,CCT5,CCT7,CCT8,TBCB,TCP1	CCT2,CCT3,CCT4,CCT5,CCT7,CCT8,REEP5,TBCB,TCP1,WDR26	4.5631795	-7.8439875	Chaperonin TCP-1	CL:3084	Chaperonin TCP-1, conserved site	CCT complex (chaperonin containing TCP1 complex);CCT complex (chaperonin containing TCP1 complex), testis specific;CCT-Pdcl complex					Chaperonin TCP-1		
14	CDC73,CTR9,LEO1,PAF1,TUBB2A,WDR61	CDC73,CTR9,ELOF1,IWS1,LEO1,PAF1,RTF1,SH3KBP1,SSRP1,SUPT16H,SUPT4H1,BRD2,TUBB2A,WDR61	0.4218308	-4.3543587	Paf complex	CL:4570	Cdc73/Paf1 complex	Paf complex	FACT complex	Cdc73/Paf1 complex, and FACT complex	10_		Paf complex		
15	ELOF1,IWS1,SH3KBP1,SSRP1,SUPT16H,SUPT4H1	CDC73,CTR9,ELOF1,IWS1,LEO1,PAF1,RTF1,SH3KBP1,SSRP1,SUPT16H,SUPT4H1,BRD2,TUBB2A,WDR61	0.35173628	-4.251217	FACT complex			FACT complex	Paf complex	Cdc73/Paf1 complex, and FACT complex;Cdc73/Paf1 complex			FACT complex		
16	LAMTOR1,LAMTOR3,LAMTOR4,TMEM214	ZNF704,CCNF,CERS6,CRLF3,FASTK,FLCN,GATA1,GSK3B,HEBP1,HMBOX1,LAMTOR1,LAMTOR3,LAMTOR4,LDB1,LMO2,MICA,MON1A,NCKAP1,PIKFYVE,PLEKHA5,PRDM8,PSME1,ATP8B2,PTPN1,RBFOX2,RPL22L1,RTEL1,SLC38A1,TAL1,TMEM214,USP14,VPS41,WDR44	2.2883575	-0.16329452	Ragulator complex				Casein kinase II (beta-dimer, alpha'-dimer);Gata1-Gfi1b complex;Gata1-Ldb1-Tal1 complex;Gata1-Tal1-Tcf3-Lmo2 complex;Ldb1-Lmo2-Gata-1-Tal1-E47 complex				Ragulator complex		
17	DAXX,METTL21A,NAE1,NEDD8-MDP1,NEDD8,BMP2K,UBA3	CUL1,CUL3,DAXX,FBXW11,GLRX3,KEAP1,METTL21A,NAA30,NAA35,NAE1,NEDD8-MDP1,NEDD8,BMP2K,UBA3	1.6862891	-5.2097707	post-translational modifications			APPBP1-UBA3 complex	COP9 signalosome complex	Signalosome			post-translational modifications 4		
18	COPS2,COPS3,COPS4,COPS5,COPS6,COPS8,GPS1	ZNF281,COPS2,COPS3,COPS4,COPS5,COPS6,COPS8,CUL1,DDA1,GPS1,NEDD8-MDP1,NEDD8,PCBP1,SON,BOD1L1	1.2098925	-5.0686903	COP9 signalosome	CL:6680	Signalosome	COP9 signalosome complex	APPBP1-UBA3 complex				COP9 signalosome		
19	ZBTB4,MRPS34,SRRT,TAF7	ZBTB4,DCPS,MRPS34,NCKIPSD,SRRT,TAF7	5.1160975	-0.9388211					CBC complex (cap binding complex);PHAX-CBC complex (cap binding complex)		3_histone genes		unknown 6		
20	CCNK,CCNK,CDK12,GRB2	ZC3H18,CCNK,CCNK,CDK12,CLDN15,AHCY,RAMAC,GRB2,NCBP1,NCBP2,PPP1CC,RAB2B,RNMT,RPRD1B,TIA1,TOX4	5.4575787	-0.5450165					CBC complex (cap binding complex);PHAX-CBC complex (cap binding complex)				unknown 7		
21	MEF2A,PRPF19,SFSWAP,BCAS2	CCDC9,AGBL5,CTNNBL1,DNAJC8,FNBP4,MAN1A2,MAT2A,MEF2A,METTL16,PAXBP1,PQBP1,PRMT5,PRPF19,PRPF4B,RBM42,RBMX2,BCAS2,SNRNP27,SNRNP40,TIMM17B,C12orf60,WBP11,WDR77	-0.48678032	2.4443812	activation of splicing				20S methyltransferase core complex;MEP50-PRMT5-ICLN complex	methylosome			activation of splicing	PRPF19, BCAS2, CTNNBL1	
22	INTS1,INTS2,INTS5,INTS7,INTS8	CNOT2,CNOT3,DDX17,INTS1,INTS2,INTS5,INTS6,INTS7,INTS8,KDM8,RBM14-RBM4,SOD1,BRI3	0.9075536	-3.6479425	Integrator complex				CNOT1-CNOT2-CNOT3 complex;Integrator complex	integrator complex	20_;21_myeloid differentiation	22_;23_cell cycle	Integrator complex 1		
23	ACSL3,CPSF6,ANKRD39,NUDT21,OGFOD1	ACSL3,CPSF6,ANKRD39,NUDT21,OGFOD1,SRRM2,THOC3,THOC6	0.18925613	-1.1253266				CPSF6-NUDT21 complex	CPSF6-ITCH-NUDT21-POLR2A complex		4_cholesterol homeostasis		unknown 8		
24	CAD,DHODH,SDHA,SDHC,UMPS	ZNRD1,CAD,CD3EAP,DHODH,E2F8,EIF4ENIF1,MCRIP1,HEATR1,MIIP,NCL,NOL11,ATP1A1,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,BANP,SLC16A5,SMUG1,TAF1B,TAF1C,TAF1D,TCOF1,THUMPD1,TOP1,TWISTNB,UBAP2L,UMPS,UTP15,WDR43,WDR75	3.2691379	2.1050756	pyrimidine biosynthesis/mitochondrial complex II				TBP-TAF complex;TIF-IB complex	RNA polymerase I complex	23_cell cycle		pyrimidine biosynthesis/mitochondrial complex II	CAD,DHODH,UMPS, SDHA,SDHC	
25	NUP54,NUP62,ATF5,XPO1	EML3,ILF2,ILF3,MCUR1,NUP133,NUP54,NUP62,ATF5,RANBP3,XPO1	-0.12765777	-0.2499302	nuclear export				Pigr-Vps35-Vps26a-Vps29 complex;Vps29-Vps35-Vps26a complex		17_	31_growth/targets of Myc	nuclear export	NUP54,NUP62,XPO1	ATF5 is an off-target
26	CPSF2,CPSF3,ITGB1BP1,SYMPK	CPSF1,CPSF2,CPSF3,CPSF4,CSTF1,CSTF3,DHX9,ITGB1BP1,ASB6,SDC1,SERF2,SSU72,SYMPK,UBE3D	-2.9124742	-4.527177	mRNA polyadenylation				Chromatin assembly complex (CAF-1 complex);Cleavage and polyadenylation factor (CPSF);Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)	mRNA cleavage and polyadenylation specificity factor complex	3_histone genes		mRNA polyadenylation	CPSF1,CPSF2,CPSF3,CPSF4,CSTF1,CSTF3,SYMPK	
27	DERL2,MIS12,PMF1,BGLAP,BUB1B,TTK	ZCRB1,ZMAT5,ZRSR2,ACTR10,CENPC,CENPK,CSE1L,DCTN2,DCTN3,DCTN5,DERL2,DLD,DSN1,DYNC1H1,TASOR2,HAUS4,HAUS7,HJURP,KPNA4,KPNA6,KPNB1,MIS12,MIS18A,MIS18BP1,ARMC7,MZT1,NSL1,PEX1,PMF1,RNPC3,SEM1,SNRNP25,SNRNP48,BGLAP,SORT1,SPC25,SRSF8,STIL,TBCA,THOC7,TPX2,BUB1B,BUB1,BUB3,TTK	-0.19198799	-3.4357705	chromosome segregation				BUB1-BUB3 complex;Mitotic checkpoint complex (MCC)	U12-type spliceosomal complex;MIS12/MIND type complex	2_unfolded protein response;11_		chromosome segregation	MIS12,PMF1,BUB1B,TTK,CENPC,CENPK	
28	NELFA,NELFB,NELFCD,NELFE	FUNDC2,MEIS3,NELFA,NELFB,NELFCD,NELFE,NKX6-1,NRBP1,SUGP1,TAF10,TAF12,TAF1,TAF2,TAF3,TAF5,TAF6,TAF8,TYK2	4.6563797	-2.3321064	NELF complex			NELF complex (Negative elongation factor complex)	DA complex;DAB complex;TFIIA complex;TFIID complex;TFIID complex, B-cell specific;TFIID-beta complex	transcription factor TFTC complex, and TAFII28-like protein			NELF complex		
29	CYREN,ARPC4,SUPT20H,TADA1,TADA2B,TADA3,TAF6L	CYREN,HNRNPA2B1,HSPB11,MPG,ARPC4,SUPT20H,TADA1,TADA2B,TADA3,TAF6L,TSPYL5,USP22	4.858215	-3.302868	histone acetylation								histone acetylation 2		
30	CTU1,CTU2,ELP3,ELP4,ELP5	CHKB,CTU1,CTU2,ELP2,ELP3,ELP4,ELP5,ALKBH8,SLC39A6,URM1	-5.721051	1.4437954	tRNA modification				Elongator holo complex				tRNA modification	CTU1,CTU2,ELP3,ELP4,ELP5,URM1	
31	ZMAT2,CLNS1A,DDX20,DDX41,DDX46,ECD,GEMIN4,GEMIN5,GEMIN6,GEMIN8,INTS3,INTS4,INTS9,ICE1,LSM2,LSM3,LSM5,LSM5,LSM6,LSM7,MMP17,PHAX,PRPF4,PRPF6,SART3,SF3A2,SMN2,SNAPC1,SNAPC3,SNRPD3,SNRPG,TIPARP,TTC27,TXNL4A,USPL1	ZMAT2,ZNF335,ZNF695,CDKN2AIP,CLNS1A,DDX20,DDX46,EIF5A,FAM32A,FCGRT,FOXI3,GABARAPL1,GEMIN4,GEMIN5,GEMIN6,GEMIN8,GPATCH1,HNRNPU,INTS3,INTS4,INTS9,ICE1,LIMD2,LSM2,LSM3,LSM5,LSM6,LSM7,MFAP1,MFN2,MMP17,MUTYH,NUP88,PHAX,PHF5A,PPIL4,PRPF40A,PRPF4,PRPF8,PUF60,RBM25,RBM39,RMI1,RUVBL1,SAFB2,SART3,SF3A2,SMN2,SMNDC1,SNAPC1,SNAPC2,SNAPC3,SNRPA,SNRPD3,SNRPF,SNRPG,SRRM1,TIPARP,TOE1,TOR1B,TTC27,TUT1,UBL5,USP39,USPL1	-0.12603146	3.7715397	spliceosome	CL:1698;CL:2180	U6 snRNP;SMN complex	SMN complex (GEMIN5,4,3), SMN-independent intermediate	20S methylosome-SmD complex;20S methyltransferase core complex;Exon junction complex (mRNA splicing-dependent);SNAPc (small nuclear RNA-activating protein) complex	methylosome;snRNA-activating protein complex, and snRNA-activating protein complex subunit 5	9_;11_		spliceosome		
32	DGCR8,DICER1,DROSHA,XPO5	C5orf22,DGCR8,DHX36,DICER1,DROSHA,XPO5	2.8434	-3.0080645	microRNA biogenesis			Microprocessor complex	ARC complex;ARC-L complex;ARC92-Mediator complex;BRD4 complex;CDK8 subcomplex (CCNC, CDK8, MED12, MED13);CRSP complex;CRSP-Mediator 2 complex;DRIP complex;ESR1-TRAP/Mediator coactivator-complex;ESR2-TRAP/Mediator coactivator complex;MED18-MED20-MED29 mediator subcomplex;Mediator complex;PC2 complex;Protein phosphatase 4 complex;SMCC complex;TRAP complex;TRAP-SMCC mediator complex	mediator complex;mediator complex;mediator complex;mediator complex;mediator complex;Mediator complex, subunit Med7/Med21-like, and Med6 core domain superfamily;core mediator complex, and Mediator complex protein ;mixed, incl. Mediator complex subunit 29, and Mediator complex subunit 27		24_mitochondrial protein translocation and oxidative phopshorylation	microRNA biogenesis	DGCR8,DICER1,DROSHA,XPO5	
33	CLTC,EXOC1,EXOC4,AP2S1,ATP6AP1,ATP6V1A,ATP6V1G1,ATP6V1H,SACM1L,WDR7	ZW10,CCDC115,CLTC,COG2,DDI2,EFR3A,EXOC1,EXOC4,AP2M1,AP2S1,LIN54,MRGBP,MZT2B,PEX19,ATP6AP1,ATP6AP2,ATP6V1A,ATP6V1B2,ATP6V1C1,ATP6V1G1,ATP6V1H,RABGGTA,RABGGTB,SACM1L,SEPHS1,SLC2A8,TECR,TFRC,TMSB10,WDR7	-4.0427213	-1.7225256	vesicular trafficking				SNARE complex (RINT1, ZW10, p31, Stx18)	Dsl1/NZR complex, and Sec20	4_cholesterol homeostasis		vesicular trafficking	CLTC,AP2S1,EXOC1,EXOC4	
34	ZNF560,CNDP2,MYB,PTGR2,TBC1D4	ZNF560,CNDP2,DPF2,MED24,MYB,PIP4K2C,PRDM4,PRKCI,PTGR2,TBC1D4,UHRF1BP1	1.7823184	-1.6906371					ARC complex;ARC-L complex;ARC92-Mediator complex;CDK8 subcomplex (CCNC, CDK8, MED12, MED13);CRSP complex;CRSP-Mediator 2 complex;DRIP complex;ESR1-TRAP/Mediator coactivator-complex;ESR2-TRAP/Mediator coactivator complex;Mediator complex;PC2 complex;SMCC complex;TRAP complex;TRAP-SMCC mediator complex	mediator complex;mediator complex;mediator complex;mediator complex;mediator complex;Mediator complex, subunit Med7/Med21-like, and Med6 core domain superfamily;mixed, incl. Mediator complex subunit 29, and Mediator complex subunit 27			unknown 9		
35	AC118549.1,GYG1,MBIP,MYSM1,PDHA1,PET117,YEATS2	AC118549.1,C7orf26,ACTR5,CCDC130,DNMT1,FASN,GYG1,INTS10,MBIP,ARID5B,MYSM1,NAA10,INTS13,PDHA1,PET117,SBNO1,TADA2A,INTS14,WDR5,YBX3,YEATS2	6.1124187	-3.327398								6_translation	unknown 10		
36	C7orf26,FASN,INTS10,ARID5B,INTS13,INTS14	AC118549.1,C7orf26,ACTR5,CCDC130,DNMT1,FASN,GYG1,INTS10,MBIP,ARID5B,MYSM1,NAA10,INTS13,PDHA1,PET117,SBNO1,TADA2A,INTS14,WDR5,YBX3,YEATS2	6.323994	-3.3268056	Integrator complex								Integrator complex 2		
37	FUNDC2,MEIS3,NKX6-1,SUGP1,TAF10,TAF11,TAF12,TAF13,TAF1,TAF2,TAF3,TAF5,TAF6,TAF8,TYK2	FUNDC2,MEIS3,NELFA,NELFB,NELFCD,NELFE,NKX6-1,NRBP1,SUGP1,TAF10,TAF12,TAF1,TAF2,TAF3,TAF5,TAF6,TAF8,TYK2	4.758101	-2.362614		CL:4527	transcription factor TFTC complex, and TAFII28-like protein	TFIID complex;TFIID complex, B-cell specific;TFIID-beta complex	DA complex;DAB complex;NELF complex (Negative elongation factor complex);TFIIA complex		0_mitochondrial respiratory chain	8_translation;6_translation	TFIID complex		
38	CRLF3,FASTK,GSK3B,MON1A	ZNF704,CCNF,CERS6,CRLF3,FASTK,FLCN,GATA1,GSK3B,HEBP1,HMBOX1,AP3M2,LAMTOR1,LAMTOR3,LAMTOR4,LDB1,LMO2,MICA,MON1A,NCKAP1,NECAP2,PIKFYVE,PLEKHA5,PRDM8,PSME1,ATP8B2,PTPN1,RBFOX2,RPL22L1,RTEL1,SLC38A1,TAL1,TMEM214,USP14,VPS41,WDR44	2.2806046	-0.497522					Casein kinase II (beta-dimer, alpha'-dimer);Gata1-Gfi1b complex;Gata1-Ldb1-Tal1 complex;Gata1-Tal1-Tcf3-Lmo2 complex;Ldb1-Lmo2-Gata-1-Tal1-E47 complex				unknown 11		
39	EIF3A,EIF3G,XRCC5,XRCC6	CASC3,CLOCK,EIF3A,EIF3C,EIF3G,EIF3I,EIF3J,GIGYF2,IPO13,MAGOH,NUB1,POU3F1,BAG6,SMG5,SMG7,SMG8,SMG9,UPF1,UPF2,XRCC5,XRCC6	1.1677583	1.6433966				Ku antigen complex	EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C);EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J);EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I);eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	eukaryotic 48S preinitiation complex;eukaryotic 48S preinitiation complex	35_;30_growth signaling;37_;1_targets of nonsense-mediated decay;29_	10_;0_mitochondrial respiratory chain	EIF3 1/Ku antigen complex		
40	CHMP3,CHMP6,GLUL,ATP6V1B2,TSG101,VPS28	CHMP3,CHMP6,GLUL,ATP6V1B2,ATP6V1H,RABGGTA,RABGGTB,SLC2A8,SLC35A3,TRAPPC11,TSG101,UBAP1,VPS28	-4.5433035	-2.0133295	ESCRT complex				SNARE complex (RINT1, ZW10, p31, Stx18)	Dsl1/NZR complex, and Sec20	19_NFkB signaling;21_myeloid differentiation		ESCRT complex	CHMP3,CHMP6,TSG101,VPS28	
41	EIF1AX,EIF3F,EIF3H,EIF3M,EIF4G2	ZNF324,CSDE1,DDX3X,EIF1AX,EIF3D,EIF3E,EIF3F,EIF3H,EIF3L,EIF3M,EIF4A1,EIF4G2,STRAP	-0.31874734	1.1843125					EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C);EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3J);EIF3 core complex (EIF3A, EIF3B, EIF3G, EIF3I);Ku antigen complex;eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	eukaryotic 48S preinitiation complex;eukaryotic 48S preinitiation complex		10_	EIF3 2		
42	GATA1,HMBOX1,LDB1,LMO2,NCKAP1,PRDM8	ZNF704,CCNF,CERS6,CRLF3,FASTK,FLCN,GATA1,GSK3B,HEBP1,HMBOX1,AP3M2,LAMTOR1,LAMTOR3,LAMTOR4,LDB1,LMO2,MICA,MON1A,NCKAP1,NECAP2,PIKFYVE,PLEKHA5,PRDM8,PSME1,ATP8B2,PTPN1,RBFOX2,RPL22L1,RTEL1,SLC38A1,TAL1,TMEM214,USP14,VPS41,WDR44	2.249259	-0.57283175	erythroid differentiation			Ldb1-Lmo2-Gata-1-Tal1-E47 complex	Casein kinase II (beta-dimer, alpha'-dimer);Gata1-Gfi1b complex;Gata1-Ldb1-Tal1 complex;Gata1-Tal1-Tcf3-Lmo2 complex		20_;21_myeloid differentiation;26_		erythroid differentiation	GATA1,LDB1,LMO2	
43	PSMA4,PSMB7,PSMC1,PSMC2,PSMC4,PSMD12,PSMD2,PSMD6,PSMD7,PSMG3	ZNF786,CHRNB1,ADRM1,AKIRIN2,FTSJ3,IPO9,PHF1,PSMA3,PSMA4,PSMB1,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC6,PSMD11,PSMD12,PSMD13,PSMD2,PSMD4,PSMD6,PSMD7,PSMG3,BEND6,THAP1,UBA1,UQCC2,USP5	0.26577604	-6.544094	proteasome						18_proteasome genes		proteasome	PSMA3,PSMA4,PSMB1,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC6,PSMD11,PSMD12,PSMD13,PSMD2,PSMD4	
44	CASP8AP2,CHAF1A,CHAF1B,FOLR3,HINFP,LSM10,LSM11,ARHGAP6,ARPC1B,SLBP	ZNF143,CABIN1,CALR,CASP8AP2,CHAF1A,CHAF1B,CHD4,CNBP,ENY2,FOLR3,HINFP,HIRA,HIST2H3A,HMGXB3,LSM10,LSM11,ARHGAP6,MBD3,MEN1,ARPC1B,ARRDC4,NUDCD1,ATAD5,RBBP4,RIF1,SLBP,UBE2L3	-2.1526332	-4.43272	histone/nucleosome synthesis				Chromatin assembly complex (CAF-1 complex);Cleavage and polyadenylation factor (CPSF);Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)	mRNA cleavage and polyadenylation specificity factor complex	15_erythroid differentiation;3_histone genes		histone/nucleosome synthesis	LSM10,LSM11,SLBP,CASP8AP2,CHAF1A,CHAF1B	
45	FKBP9,MIOS,MOB4,MTOR,PPP1R37,PPP2CB,RPTOR,SEH1L,SIRT7	CCDC6,CHERP,ADNP2,CHORDC1,CLASP1,DPH2,ELAVL1,FAM122A,FAM122B,FBXO42,FKBP9,GART,HSPA14,ARGLU1,MAPKAP1,MIOS,MLLT6,MOB4,MSH3,MTHFD1,MTOR,NAMPT,NHLRC2,PARP12,PDPK1,PFN1,PGAM1,ATIC,PPCS,PPP1R37,PPP2CB,THAP12,PRRC2A,RHEB,RICTOR,RPIA,RPTOR,SCAF8,SEH1L,SFPQ,SIRT7,SLC35G2,SLC39A10,SP2,STRIP1,TARDBP,THAP11	-1.419002	0.3326868	mTOR signaling			mTOR complex (MTOR, RAPTOR)	MNK1-eIF4F complex;mTORC2 complex		7_translation	11_	mTOR signaling	MTOR,RPTOR,SEH1L,RICTOR,MIOS	
46	ALDOA,ENO1,PGAM1,PGK1	ZFP91,CCDC6,CHORDC1,ADSL,ALDOA,ENO1,FAM122A,FBXO42,FKBP9,GART,HSPA8,ARID2,MSH3,MTHFD1,MVD,PGAM1,PGK1,ATIC,PKM,PPP1CB,THAP12,SLC35G2,SLC39A9,SP1,STAT5B,THRAP3	-1.6590674	-0.16533394	glycolysis				mTOR complex (MTOR, RAPTOR);mTORC2 complex				glycolysis	ALDOA,ENO1,PGAM1,PGK1	
47	ETV4,RAD21,SMC1A,SMC3	DENR,DHRSX,E2F5,ECI2,ETV4,MAU2,MED12,NIPBL,ATF7IP2,RAD21,ATXN7,SMC1A,SMC3,STAG2,SUPT6H	2.6484532	-1.722408		CL:5842	Cohesin Loading onto Chromatin	Cohesin-SA1 complex;Cohesin-SA2 complex;DDX11-RAD21-SMC1A-SMC3 complex;SMC1-SMC3 complex;Smcb-Smcd-PW29 complex	ARC complex;ARC-L complex;ARC92-Mediator complex;BRD4 complex;CDK8 subcomplex (CCNC, CDK8, MED12, MED13);CRSP complex;CRSP-Mediator 2 complex;DRIP complex;ESR1-TRAP/Mediator coactivator-complex;ESR2-TRAP/Mediator coactivator complex;MED18-MED20-MED29 mediator subcomplex;Mediator complex;PC2 complex;Protein phosphatase 4 complex;SMCC complex;TRAP complex;TRAP-SMCC mediator complex	mediator complex;mediator complex;mediator complex;mediator complex;mediator complex;Mediator complex, subunit Med7/Med21-like, and Med6 core domain superfamily;core mediator complex, and Mediator complex protein ;mixed, incl. Mediator complex subunit 29, and Mediator complex subunit 27	2_unfolded protein response;25_;26_;20_;16_erythroid differentiation	27_cell cycle;23_cell cycle;31_growth/targets of Myc;33_growth/targets of Myc;34_ribosome biogenesis	Cohesin-SA1 complex		
